course_code
(BBL-1013 or BBL-1083)
(BBL-1023 or BBL-1093)
(BBL-2013 or BBL-2093 or BBL-2033)
(BBL-2022 or BBL-2093 or BBL-2043)
(COR-1002 or COR-1103)
(EGL-1013 or EGL-1083)
(EGL-1023 or EGL-1093)
